date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude
10/29/2006 20:00,seattle,wa,us,sphere,5,5 seconds,Blue-ish sphere with white trail seen traveling north to south Sunday 8PM October 29&#44 2006.,12/7/2006,47.6063889,-122.3308333
10/30/1995 23:30,seattle,wa,us,NA,1800,30 min.,Woman rpts peculiar bright obj. in NW sky&#44 45 deg. above horizon.  (Reported 02NO95 obj. was not present on subsequent nights.),11/2/1999,47.6063889,-122.3308333
10/30/2004 04:00,seattle,wa,us,formation,30,30 seconds,Flying v-formation of glowing orb-like craft.,11/2/2004,47.6063889,-122.3308333
10/31/2002 07:45,seattle,wa,us,light,300,five minuets,Small bright light around north face of Mt. Rainier,11/4/2002,47.6063889,-122.3308333
10/31/2003 03:40,seattle,wa,us,unknown,1200,15-20 minutes,Strange hovering and engineless jet noises too near for comfort.,10/31/2003,47.6063889,-122.3308333
10/31/2003 07:30,seattle,wa,us,light,15,10-15 seconds,a steaking light in the bright morning sky,11/11/2003,47.6063889,-122.3308333
10/31/2004 00:00,seattle,wa,us,fireball,10,10 seconds,3 of us were standing out on my deck halloween nite. we were talking about telescopes. I started to point at a star in the clear nite s,12/3/2004,47.6063889,-122.3308333
10/31/2004 08:00,seattle,wa,us,light,10,.10,103104 Bright Light,12/3/2004,47.6063889,-122.3308333
10/31/2004 20:00,seattle,wa,us,light,15,15 seconds,single light going away,12/3/2004,47.6063889,-122.3308333
10/31/2006 10:30,seattle,wa,us,unknown,1800,30minutes,Strange objects in the morning sky over Seattle - on Halloween.  ((NUFORC Note:  A contrail&#44 we believe.  PD)),12/7/2006,47.6063889,-122.3308333
10/31/2011 19:15,seattle,wa,us,fireball,120,2 minutes,Glowing orange orb flying North to South across Lake Washington 10/31/2011,12/12/2011,47.6063889,-122.3308333
10/3/1999 21:45,seattle,wa,us,teardrop,10,10 secs.,An eliptical-teardrop shaped object travelling approx.15-20 degrees above the horizon&#44 from SE to NW in a horizontal position  along Se,10/19/1999,47.6063889,-122.3308333
10/3/2010 22:30,seattle,wa,us,fireball,60,1 minute,Fireball above Puget Sound,11/21/2010,47.6063889,-122.3308333
10/4/2005 01:00,seattle,wa,us,other,2,a few seconds,6 dimly lit orbs travelint at a high speed,12/16/2005,47.6063889,-122.3308333
10/4/2008 20:00,seattle,wa,us,light,1,1 sec,Boeing Airfield,10/31/2008,47.6063889,-122.3308333
10/4/2013 00:20,seattle,wa,us,teardrop,3,3 seconds,Stingray shaped object with red lights.,10/14/2013,47.6063889,-122.3308333
10/4/2013 22:20,seattle,wa,us,oval,600,10 minutes,Sighting of two orange reddish objects&#44 north of Puget Sound in Seattle,10/14/2013,47.6063889,-122.3308333
10/6/2000 10:50,seattle,wa,us,sphere,5,3-5 seconds,Observed a round&#44 metallic object proceeding west or SW at apparent high rate of speed--object appeared to dissappear after 3-5 seconds,12/2/2000,47.6063889,-122.3308333
